stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
695901,"Im Bosseldorn",8.682118,49.383799,STATION,508905,8682186,49384030,Heidelberg,"Rohrbach Im Bosseldorn",BUS,50
265905,"Fürstenwalder Weg",8.535505,49.510348,STATION,505822,8535491,49510320,Mannheim,"Vogelstang Fürstenwalder Weg",BUS,50
204506,"Kallstadter Straße",8.400916,49.464351,STATION,506505,8400896,49464385,"Ludwigshafen am Rh","Gartenstadt Kallstadter Straße",BUS,50
265906,"Fürstenwalder Weg",8.53557,49.510302,STATION,505822,8535491,49510320,Mannheim,"Vogelstang Fürstenwalder Weg",BUS,50
695903,"Im Bosseldorn",8.68148,49.38419,STATION,508905,8682186,49384030,Heidelberg,"Rohrbach Im Bosseldorn",BUS,100
204505,"Kallstadter Straße",8.401517,49.464235,STATION,511029,8401543,49464232,"Ludwigshafen am Rh","Gartenstadt Kallstadter Straße",BUS,50
614501,Kopfklinik,8.66723,49.41905,STATION,508206,8666959,49419133,Heidelberg,"Neuenheim Kopfklinik",BUS,50
614502,Kopfklinik,8.66688,49.4192,STATION,508206,8666959,49419133,Heidelberg,"Neuenheim Kopfklinik",BUS,50
217820,"Oppau West",8.39518,49.522806,STATION,508983,8394666,49522311,"Ludwigshafen am Rhein","Oppau West",BUS,100
112404,Haselnussweg,8.703117,49.37408,STATION,505640,8702511,49374259,Heidelberg,"Boxberg Haselnußweg",BUS,50
112403,Haselnussweg,8.70308,49.374008,STATION,505640,8702511,49374259,Heidelberg,"Boxberg Haselnußweg",BUS,50
112401,Haselnussweg,8.702652,49.37454,STATION,505640,8702511,49374259,Heidelberg,"Boxberg Haselnußweg",BUS,50
239605,Jakobuskirche,8.454017,49.544013,STATION,515113,8453735,49543939,Mannheim,"Sandhofen Jakobuskirche",BUS,50
414611,"Weinheim Alt. OEG-Bf",8.66471,49.54817,STATION,510424,8664927,49548793,Weinheim,"Alter OEG-Bahnhof",TRAM;BUS;ON_DEMAND,100
680405,Nelkestraße,8.375228,49.456921,STATION,506966,8375214,49456861,"Ludwigshafen am Rhein","Maudach Nelkestraße",BUS,50
587702,Grillhütte,8.789986,49.488749,STATION,506982,8790255,49489168,Heiligkreuzsteinach,Grillhütte,BUS,50
812605,Schöps,8.586382,49.443251,STATION,508608,8580896,49445148,Edingen-Neckarhausen,"Neu-Edingen Ahornstraße",BUS,450
680406,Nelkestraße,8.375486,49.456682,STATION,506966,8375214,49456861,"Ludwigshafen am Rhein","Maudach Nelkestraße",BUS,50
239606,Jakobuskirche,8.453387,49.543839,STATION,515113,8453735,49543939,Mannheim,"Sandhofen Jakobuskirche",BUS,50
250405,Strandbad,8.452871,49.447683,STATION,508512,8453042,49447746,Mannheim,"Neckarau Strandbad",BUS,50
253906,Martinistraße,8.52677,49.443144,STATION,509217,8526997,49443287,Mannheim,"Rheinau Martinistraße",BUS,50
236105,"Käfertal Friedhof",8.519057,49.515403,STATION,518236,8519050,49515399,Mannheim,"Käfertal Friedhof",BUS,50
253905,Martinistraße,8.527095,49.443263,STATION,509217,8526997,49443287,Mannheim,"Rheinau Martinistraße",BUS,50
213005,"Mundenheim Friedhof",8.416871,49.468181,STATION,508371,8416654,49467998,"Ludwigshafen am Rhein","Mundenheim Friedhof",BUS,50
213006,"Mundenheim Friedhof",8.417421,49.46815,STATION,508371,8416654,49467998,"Ludwigshafen am Rhein","Mundenheim Friedhof",BUS,100
259207,"Zähringer Straße",8.561072,49.46226,STATION,509727,8560077,49463711,Mannheim,"Seckenheim Zähringer Straße",BUS,200
259206,"Zähringer Straße",8.559936,49.463635,STATION,509727,8560077,49463711,Mannheim,"Seckenheim Zähringer Straße",BUS,50
